#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","Danish 1331","SAMN10219708","PRJNA494982","GCA_005156105.1","Complete",4.41181,65.7,"chromosome:NZ_CP039850.1/CP039850.1",,1,4116,"2019-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/156/105/GCA_005156105.1_ASM515610v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/156/105/GCF_005156105.1_ASM515610v1"
"Mycobacterium tuberculosis H37Rv","Bacteria;Terrabacteria group;Actinobacteria","H37Rv","SAMEA3138326","PRJNA224","GCA_000195955.2","Complete",4.41153,65.6,"chromosome:NC_000962.3/AL123456.3",,1,3906,"2001-09-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2"
"Mycobacterium marinum E11","Bacteria;Terrabacteria group;Actinobacteria","E11","SAMEA3139029","PRJEB5070","GCA_000723425.2","Complete",6.45052,65.7699,"chromosome 1:NZ_HG917972.2/HG917972.2; plasmid II:NZ_HG917973.1/HG917973.1",,2,5199,"2014-05-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/425/GCA_000723425.2_E11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/425/GCF_000723425.2_E11"
"Mycobacterium paragordonae","Bacteria;Terrabacteria group;Actinobacteria","49061","SAMN08222636","PRJNA427220","GCA_003614435.1","Complete",7.22425,66.8617,"chromosome:NZ_CP025546.1/CP025546.1; plasmid unnamed1:NZ_CP025547.1/CP025547.1; plasmid unnamed2:NZ_CP025548.1/CP025548.1; plasmid unnamed3:NZ_CP025549.1/CP025549.1; plasmid unnamed4:NZ_CP025550.1/CP025550.1",,5,6272,"2018-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/614/435/GCA_003614435.1_ASM361443v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/435/GCF_003614435.1_ASM361443v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","AUSMDU00007395","SAMN13191638","PRJNA556438","GCA_009664715.1","Complete",6.38414,67.5337,"chromosome:NZ_CP045963.1/CP045963.1; plasmid pAUSMDU00007395_01:NZ_CP045964.1/CP045964.1; plasmid pAUSMDU00007395_02:NZ_CP045965.1/CP045965.1; plasmid pAUSMDU00007395_03:NZ_CP045966.1/CP045966.1; plasmid pAUSMDU00007395_04:NZ_CP045967.1/CP045967.1; plasmid pAUSMDU00007395_05:NZ_CP045968.1/CP045968.1",,6,5712,"2019-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/715/GCA_009664715.1_ASM966471v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/715/GCF_009664715.1_ASM966471v1"
"Mycobacterium tuberculosis variant microti","Bacteria;Terrabacteria group;Actinobacteria","12","SAMN03257090","PRJNA270004","GCA_001544815.1","Complete",4.37012,65.6,"chromosome:CP010333.1",,1,4321,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/815/GCA_001544815.1_ASM154481v1",
"Mycobacterium intracellulare subsp. yongonense 05-1390","Bacteria;Terrabacteria group;Actinobacteria","05-1390","SAMN02603187","PRJNA82265","GCA_000418535.2","Complete",5.66209,67.9502,"chromosome:NC_021715.1/CP003347.1; plasmid pMyong1:NC_020275.1/JQ657805.1; plasmid pMyong2:NC_020276.1/JQ657806.1",,3,5152,"2013-07-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/535/GCA_000418535.2_ASM41853v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/535/GCF_000418535.1_ASM41853v2"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","BCG-1 (Russia)","SAMN04364424","PRJNA306822","GCA_001483905.1","Complete",4.37071,65.6,"chromosome:NZ_CP013741.1/CP013741.1",,1,4039,"2016-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/905/GCA_001483905.1_ASM148390v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/905/GCF_001483905.1_ASM148390v1"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","Mb3601","SAMEA5803801","PRJEB33636","GCA_902459825.1","Complete",4.36507,65.6,"chromosome Mb3601:NZ_LR699570.1/LR699570.1",,1,3929,"2019-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/459/825/GCA_902459825.1_MB3601_COMBINED","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/825/GCF_902459825.1_MB3601_COMBINED"
"Mycobacterium tuberculosis H37Rv","Bacteria;Terrabacteria group;Actinobacteria","H37Rv","SAMN03081436","PRJNA37301","GCA_000277735.2","Complete",4.41171,65.6,"chromosome:NC_018143.2/CP003248.2",,1,4146,"2012-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/735/GCA_000277735.2_ASM27773v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/735/GCF_000277735.2_ASM27773v2"
"Mycobacterium marinum","Bacteria;Terrabacteria group;Actinobacteria","ATCC 927","SAMD00109228","PRJDB6649","GCA_003609695.1","Complete",6.57934,65.6651,"chromosome:NZ_AP018496.1/AP018496.1; plasmid pMMRN:NZ_AP018497.1/AP018497.1",,2,5119,"2018-02-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/695/GCA_003609695.1_ASM360969v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/695/GCF_003609695.1_ASM360969v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","ZUERICH-1","SAMN04525300","PRJNA313770","GCA_002219265.1","Complete",6.3796,67.5337,"chromosome:NZ_CP015272.1/CP015272.1; plasmid unnamed 1:NZ_CP015273.1/CP015273.1; plasmid unnamed 2:NZ_CP015274.1/CP015274.1; plasmid unnamed 3:NZ_CP015275.1/CP015275.1; plasmid unnamed 4:NZ_CP015276.1/CP015276.1; plasmid unnamed 5:NZ_CP015277.1/CP015277.1",,6,5713,"2017-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/219/265/GCA_002219265.1_ASM221926v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/219/265/GCF_002219265.1_ASM221926v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","ZUERICH-2","SAMN04526974","PRJNA314007","GCA_002219245.1","Complete",6.53365,67.4029,"chromosome:NZ_CP015267.1/CP015267.1; plasmid unnamed 1:NZ_CP015268.1/CP015268.1; plasmid unnamed 2:NZ_CP015269.1/CP015269.1; plasmid unnamed 3:NZ_CP015270.1/CP015270.1; plasmid unnamed 4:NZ_CP015271.1/CP015271.1",,5,5837,"2017-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/219/245/GCA_002219245.1_ASM221924v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/219/245/GCF_002219245.1_ASM221924v1"
"Mycobacterium intracellulare subsp. intracellulare MTCC 9506","Bacteria;Terrabacteria group;Actinobacteria","MTCC 9506","SAMN02603610","PRJNA33469","GCA_000298095.1","Complete",5.58901,68,"chromosome:NC_018612.1/CP002275.1",,1,5121,"2012-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/095/GCA_000298095.1_ASM29809v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/095/GCF_000298095.1_ASM29809v1"
"Mycobacterium marinum M","Bacteria;Terrabacteria group;Actinobacteria","M","SAMN02604327","PRJNA16725","GCA_000018345.1","Complete",6.66014,65.7077,"chromosome:NC_010612.1/CP000854.1; plasmid pMM23:NC_010604.1/CP000895.1",,2,5426,"2008-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/345/GCA_000018345.1_ASM1834v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/345/GCF_000018345.1_ASM1834v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like/50148","SAMN05833363","PRJNA269967","GCA_002116835.1","Complete",4.44442,65.6,"chromosome:NZ_CP017597.1/CP017597.1",,1,3999,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/835/GCA_002116835.1_ASM211683v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/835/GCF_002116835.1_ASM211683v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","JP-H-1","SAMD00184123","PRJDB8716","GCA_009002535.1","Complete",5.73525,68.7753,"chromosome:NZ_AP020326.1/AP020326.1; plasmid p1-JPH1:NZ_AP020327.1/AP020327.1; plasmid p2-JPH1:NZ_AP020328.1/AP020328.1; plasmid p3-JPH1:NZ_AP020329.1/AP020329.1",,4,4944,"2019-09-05T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/002/535/GCA_009002535.1_ASM900253v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/002/535/GCF_009002535.1_ASM900253v1"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","2002/0476","SAMN08321034","PRJNA428763","GCA_002975475.1","Complete",4.35564,65.6,"chromosome:NZ_CP027035.1/CP027035.1",,1,4057,"2018-03-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/975/475/GCA_002975475.1_ASM297547v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/975/475/GCF_002975475.1_ASM297547v1"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","1595","SAMN03761171","PRJNA285833","GCA_001078615.1","Complete",4.35171,65.6,"chromosome:NZ_CP012095.1/CP012095.1",,1,4026,"2015-07-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/078/615/GCA_001078615.1_ASM107861v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/615/GCF_001078615.1_ASM107861v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","FDAARGOS_751","SAMN11056466","PRJNA231221","GCA_009730215.1","Complete",4.44199,65.6,"chromosome:NZ_CP046308.1/CP046308.1",,1,3989,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/215/GCA_009730215.1_ASM973021v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/215/GCF_009730215.1_ASM973021v1"
"Mycobacterium tuberculosis variant africanum","Bacteria;Terrabacteria group;Actinobacteria","25","SAMN03257091","PRJNA270004","GCA_001544855.1","Complete",4.38642,65.6,"chromosome:CP010334.1",,1,4798,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/855/GCA_001544855.1_ASM154485v1",
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","Mycobacterium chimaera MC045","SAMEA4521417","PRJEB15375","GCA_900116695.1","Complete",6.5934,67.4836,"chromosome 1:NZ_LT703505.1/LT703505.1; plasmid 2:NZ_LT703506.1/LT703506.1; plasmid 3:NZ_LT703507.1/LT703507.1; plasmid 4:NZ_LT703508.1/LT703508.1; plasmid 5:NZ_LT703509.1/LT703509.1; plasmid 6:NZ_LT703510.1/LT703510.1",,6,6030,"2017-01-09T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/116/695/GCA_900116695.1_ASM90011669v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/695/GCF_900116695.1_ASM90011669v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","CDC 2015-22-71","SAMN05824346","PRJNA344472","GCA_002166795.1","Complete",6.24769,67.5446,"chromosome:NZ_CP019221.1/CP019221.1; plasmid pDHQP20152271_1:NZ_CP019224.1/CP019224.1; plasmid pDHQP20152271_2:NZ_CP019223.1/CP019223.1; plasmid pDHQP20152271_3:NZ_CP019222.1/CP019222.1",,4,5601,"2017-06-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/166/795/GCA_002166795.1_ASM216679v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/166/795/GCF_002166795.1_ASM216679v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like/36918","SAMN05833361","PRJNA269967","GCA_002116775.1","Complete",4.44159,65.6,"chromosome:NZ_CP017594.1/CP017594.1",,1,3988,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/775/GCA_002116775.1_ASM211677v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/775/GCF_002116775.1_ASM211677v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","mc2 2500","SAMN10955938","PRJNA522808","GCA_004345205.1","Complete",5.49992,68.8665,"chromosome:NZ_CP036220.1/CP036220.1; plasmid unnamed1:NZ_CP036221.1/CP036221.1; plasmid unnamed2:NZ_CP036222.1/CP036222.1",,3,4889,"2019-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/345/205/GCA_004345205.1_ASM434520v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/345/205/GCF_004345205.1_ASM434520v1"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","SP38","SAMN03288261","PRJNA273066","GCA_000934325.3","Complete",4.34765,65.6,"chromosome:NZ_CP015773.2/CP015773.2",,1,3930,"2016-05-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/325/GCA_000934325.3_ASM93432v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/325/GCF_000934325.3_ASM93432v3"
"Mycobacterium tuberculosis variant bovis","Bacteria;Terrabacteria group;Actinobacteria","Danish delta-sapM","SAMN10219709","PRJNA494982","GCA_005155785.1","Complete",4.3327,65.6,"chromosome:NZ_CP039851.1/CP039851.1",,1,4036,"2019-05-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/155/785/GCA_005155785.1_ASM515578v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/155/785/GCF_005155785.1_ASM515578v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","101034","SAMN11403486","PRJNA532547","GCA_005518035.1","Complete",5.36811,68.9489,"chromosome:NZ_CP040247.1/CP040247.1; plasmid pFLAC0181_CHOP1:NZ_CP040246.1/CP040246.1; plasmid pMARIA:NZ_CP040245.1/CP040245.1",,3,4731,"2019-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/518/035/GCA_005518035.1_ASM551803v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/518/035/GCF_005518035.1_ASM551803v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SCAID 252.0","SAMN05447658","PRJNA335537","GCA_001708265.1","Complete",4.43939,65.6,"chromosome:NZ_CP016888.1/CP016888.1",,1,3987,"2016-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/265/GCA_001708265.1_ASM170826v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/708/265/GCF_001708265.1_ASM170826v1"
"Mycobacterium chimaera","Bacteria;Terrabacteria group;Actinobacteria","AH16","SAMN04032872","PRJNA294790","GCA_001750065.2","Complete",6.33004,67.5628,"chromosome:NZ_CP012885.2/CP012885.2; plasmid unnamed1:NZ_CP012886.2/CP012886.2; plasmid unnamed2:NZ_CP012887.2/CP012887.2; plasmid unnamed3:NZ_CP012888.2/CP012888.2",,4,5674,"2016-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/065/GCA_001750065.2_ASM175006v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/750/065/GCF_001750065.2_ASM175006v2"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","FDAARGOS_750","SAMN11056465","PRJNA231221","GCA_009730235.1","Complete",4.43467,65.6,"chromosome:NZ_CP046309.1/CP046309.1",,1,3989,"2019-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/235/GCA_009730235.1_ASM973023v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/235/GCF_009730235.1_ASM973023v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","101115","SAMN11403599","PRJNA532547","GCA_005518055.1","Complete",5.39371,68.9097,"chromosome:NZ_CP040255.1/CP040255.1; plasmid pFLAC0181_CHOP101:NZ_CP040254.1/CP040254.1; plasmid pMARIA:NZ_CP040253.1/CP040253.1; plasmid unnamed1:NZ_CP040251.1/CP040251.1; plasmid unnamed2:NZ_CP040252.1/CP040252.1",,5,4719,"2019-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/518/055/GCA_005518055.1_ASM551805v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/518/055/GCF_005518055.1_ASM551805v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","MAC109","SAMN09074392","PRJNA464043","GCA_003408535.1","Complete",5.3525,69.0019,"chromosome:NZ_CP029332.1/CP029332.1; plasmid unnamed1:NZ_CP029333.1/CP029333.1; plasmid unnamed2:NZ_CP029334.1/CP029334.1",,3,4839,"2018-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/408/535/GCA_003408535.1_ASM340853v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/408/535/GCF_003408535.1_ASM340853v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MTB1","SAMN06622696","PRJNA379898","GCA_002072775.2","Complete",4.43354,65.6,"chromosome:NZ_CP020381.2/CP020381.2",,1,4007,"2017-03-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/072/775/GCA_002072775.2_ASM207277v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/775/GCF_002072775.2_ASM207277v2"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like/38774","SAMN05833362","PRJNA269967","GCA_002116795.1","Complete",4.43189,65.6,"chromosome:NZ_CP017595.1/CP017595.1",,1,3988,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/795/GCA_002116795.1_ASM211679v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/795/GCF_002116795.1_ASM211679v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","OCU464","SAMN03013888","PRJNA259922","GCA_001865635.3","Complete",5.27502,68.9387,"chromosome:NZ_CP009360.3/CP009360.3; plasmid p18K:NZ_CP009406.1/CP009406.1; plasmid p78K:NZ_CP009405.1/CP009405.1",,3,4807,"2016-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/635/GCA_001865635.3_ASM186563v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/635/GCF_001865635.3_ASM186563v3"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like/35049","SAMN05833360","PRJNA269967","GCA_002116755.1","Complete",4.42706,65.6,"chromosome:NZ_CP017593.1/CP017593.1",,1,3979,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/755/GCA_002116755.1_ASM211675v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/755/GCF_002116755.1_ASM211675v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MT-0080","SAMN12126281","PRJNA550393","GCA_007833935.1","Complete",4.42652,65.6,"chromosome:NZ_CP041207.1/CP041207.1",,1,4133,"2019-08-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/833/935/GCA_007833935.1_ASM783393v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/833/935/GCF_007833935.1_ASM783393v1"
"Mycobacterium avium subsp. hominissuis","Bacteria;Terrabacteria group;Actinobacteria","101174","SAMN11403589","PRJNA532547","GCA_005518015.1","Complete",5.16774,69.1432,"chromosome:NZ_CP040250.1/CP040250.1; plasmid pFLAC0181_CHOP101:NZ_CP040248.1/CP040248.1; plasmid pMARIA:NZ_CP040249.1/CP040249.1",,3,4585,"2019-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/518/015/GCA_005518015.1_ASM551801v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/518/015/GCF_005518015.1_ASM551801v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","26105","SAMN03257097","PRJNA270004","GCA_001545055.1","Complete",4.42649,65.6,"chromosome:NZ_CP010340.1/CP010340.1",,1,3986,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/545/055/GCA_001545055.1_ASM154505v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/055/GCF_001545055.1_ASM154505v1"
"Mycobacterium tuberculosis H37Ra","Bacteria;Terrabacteria group;Actinobacteria","H37Ra","SAMN05414673","PRJNA329548","GCA_001938725.1","Complete",4.42611,65.6,"chromosome:NZ_CP016972.1/CP016972.1",,1,4022,"2017-01-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/938/725/GCA_001938725.1_ASM193872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/938/725/GCF_001938725.1_ASM193872v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TB282","SAMN05933692","PRJNA349996","GCA_001870145.1","Complete",4.42586,65.6,"chromosome:NZ_CP017920.1/CP017920.1",,1,3995,"2016-11-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/870/145/GCA_001870145.1_ASM187014v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/145/GCF_001870145.1_ASM187014v1"
"Mycobacterium tuberculosis F11","Bacteria;Terrabacteria group;Actinobacteria","F11","SAMN00103286","PRJNA15642","GCA_000016925.1","Complete",4.42443,65.6,"chromosome:NC_009565.1/CP000717.1",,1,3995,"2007-06-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/925/GCF_000016925.1_ASM1692v1"
"Mycobacterium avium subsp. hominissuis TH135","Bacteria;Terrabacteria group;Actinobacteria","TH135","SAMD00061038","PRJDB502","GCA_000829075.1","Complete",5.14593,69.1941,"chromosome:NZ_AP012555.1/AP012555.1; plasmid pMAH135:NZ_AP012556.1/AP012556.1",,2,4650,"2013-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/075/GCA_000829075.1_ASM82907v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/075/GCF_000829075.1_ASM82907v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","F28","SAMN03253058","PRJNA270004","GCA_001544705.1","Complete",4.4219,65.6,"chromosome:NZ_CP010330.1/CP010330.1",,1,4098,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/705/GCA_001544705.1_ASM154470v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/705/GCF_001544705.1_ASM154470v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","HN-321","SAMD00076257","PRJDB5607","GCA_002357955.1","Complete",4.42154,65.6,"chromosome:NZ_AP018035.1/AP018035.1",,1,4128,"2017-05-10T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/955/GCA_002357955.1_ASM235795v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/955/GCF_002357955.1_ASM235795v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Telford","SAMN10396996","PRJNA504678","GCA_003957335.1","Complete",4.90743,69.2,"chromosome:NZ_CP033688.1/CP033688.1",,1,4400,"2018-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/335/GCA_003957335.1_ASM395733v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/335/GCF_003957335.1_ASM395733v1"
"Mycobacterium tuberculosis 7199-99","Bacteria;Terrabacteria group;Actinobacteria","7199-99","SAMEA2272730","PRJEA82273","GCA_000331445.1","Complete",4.4212,65.6,"chromosome:NC_020089.1/HE663067.1",,1,4131,"2013-01-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/445/GCA_000331445.1_ASM33144v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/445/GCF_000331445.1_ASM33144v1"
"Mycobacterium avium subsp. paratuberculosis","Bacteria;Terrabacteria group;Actinobacteria","MAPK_JB16/15","SAMN10410803","PRJNA505101","GCA_003815815.1","Complete",4.83877,69.3,"chromosome:NZ_CP033911.1/CP033911.1",,1,4355,"2018-11-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/815/815/GCA_003815815.1_ASM381581v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/815/GCF_003815815.1_ASM381581v1"
"Mycobacterium tuberculosis H37Ra","Bacteria;Terrabacteria group;Actinobacteria","H37Ra; ATCC 25177","SAMN02603128","PRJNA18883","GCA_000016145.1","Complete",4.41998,65.6,"chromosome:NC_009525.1/CP000611.1",,1,4147,"2007-05-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/145/GCF_000016145.1_ASM1614v1"
